Timestamp,x,y,z
1609941895.987146,0.0,-0.0,0.0
1609941896.1560295,0.0,-0.0,0.0
1609941896.36696,0.0,-0.0,0.0
1609941896.5578923,0.0,-0.0,0.0
1609941896.7380226,0.0,-0.0,0.0
1609941896.9818447,0.0,-0.0,0.0
1609941897.1435113,0.0,-0.0,0.0
1609941897.3697479,0.0,-0.0,0.0
1609941897.5415907,0.0,-0.0,0.0
1609941897.7447278,0.0,-0.0,0.0
1609941898.0032313,0.0,-0.0,0.0
1609941898.1532164,0.0,-0.0,0.0
1609941898.3633673,0.0,-0.0,0.0
1609941898.5507076,0.0,-0.0,0.0
1609941898.754158,0.0,-0.0,0.0
1609941899.00801,0.0,-0.0,0.0
1609941899.1468823,0.0,-0.0,0.0
1609941899.3651001,0.0,-0.0,0.0
1609941899.5501258,0.0,-0.0,0.0
1609941899.746898,0.0,-0.0,0.0
1609941899.9911442,0.0,-0.0,0.0
1609941900.1462636,0.0,-0.0,0.0
1609941900.3720984,0.0,-0.0,0.0
1609941900.5559149,0.0,-0.0,0.0
1609941900.7483964,0.0,-0.0,0.0
1609941900.9952493,0.0,-0.0,0.0
1609941901.1487052,0.0,-0.0,0.0
1609941901.3731537,0.0,-0.0,0.0
1609941901.5531604,0.0,-0.0,0.0
1609941901.7563672,0.0,-0.0,0.0
1609941902.003604,0.0,-0.0,0.0
1609941902.165191,0.0,-0.0,0.0
1609941902.3848872,0.0,-0.0,0.0
1609941902.5569675,0.0,-0.0,0.0
1609941902.7587476,0.0,-0.0,0.0
1609941903.0069335,0.0,-0.0,0.0
1609941903.1665175,0.0,-0.0,0.0
1609941903.3913984,0.0,-0.0,0.0
1609941903.577881,0.0,-0.0,0.0
1609941903.7624717,0.0,-0.0,0.0
1609941904.0115242,0.0,-0.0,0.0
1609941904.1669888,0.0,-0.0,0.0
1609941904.3974912,0.0,-0.0,0.0
1609941904.589207,0.0,-0.0,0.0
1609941904.7672043,0.0,-0.0,0.0
1609941905.0096788,0.0,-0.0,0.0
1609941905.1683688,0.0,-0.0,0.0
1609941905.399532,0.0,-0.0,0.0
1609941905.58835,0.0,-0.0,0.0
1609941905.7727535,0.0,-0.0,0.0
1609941906.0149028,0.0,-0.0,0.0
1609941906.166551,0.0,-0.0,0.0
1609941906.394711,0.0,-0.0,0.0
1609941906.570144,0.0,-0.0,0.0
1609941906.774491,0.0,-0.0,0.0
1609941907.0378706,0.0,-0.0,0.0
1609941907.1798034,0.0,-0.0,0.0
1609941907.408196,0.0,-0.0,0.0
1609941907.584329,0.0,-0.0,0.0
1609941907.7908983,0.0,-0.0,0.0
1609941908.0314093,0.0,-0.0,0.0
1609941908.194035,0.0,-0.0,0.0
1609941908.427101,0.0,-0.0,0.0
1609941908.6002953,0.0,-0.0,0.0
1609941908.7993543,0.0,-0.0,0.0
1609941909.0441916,0.0,-0.0,0.0
1609941909.2005932,0.0,-0.0,0.0
1609941909.425581,0.0,-0.0,0.0
1609941909.5994074,0.0,-0.0,0.0
1609941909.8012354,0.0,-0.0,0.0
1609941910.069652,0.0,-0.0,0.0
1609941910.2079926,0.0,-0.0,0.0
1609941910.4424405,0.0,-0.0,0.0
1609941910.6051595,0.0,-0.0,0.0
1609941910.8060136,0.0,-0.0,0.0
1609941911.0534222,0.0,-0.0,0.0
1609941911.2115521,0.0,-0.0,0.0
1609941911.4261663,0.0,-0.0,0.0
