Timestamp,x_error,y_error
1610095748.614344,0.0,0.0
1610095749.42211,-0.0,-0.0
1610095750.201164,0.0,-0.0
1610095750.97795,0.0,-0.0
1610095751.756089,0.0,0.0
1610095752.553944,0.0,0.0
1610095753.328792,-0.004184137288931348,-0.0018709720065015261
1610095754.110756,-0.014536082516332833,-0.005630029268748444
1610095754.902923,-0.10315517799147039,0.7708620860497668
1610095755.699844,-0.31655282954275554,0.48299033091263427
1610095756.499474,-0.2872955339616116,-0.18457743521629041
1610095757.303715,-0.21083227054898593,-0.16088866572752364
1610095758.116765,-0.25015228530038197,-0.40911390224700717
1610095758.924122,0.03973778386264102,-1
