Timestamp,x_error,y_error
1610091650.146258,0.25166278458647684,0.12151457221510858
1610091650.181932,0.0,0.0
1610091650.214769,0.0,0.0
1610091650.248712,0.0,0.0
1610091650.282497,0.0,0.0
1610091650.313559,0.0,0.0
1610091650.348942,0.0,0.0
1610091650.380485,0.0,0.0
1610091650.41023,0.0,0.0
1610091650.447499,0.0,0.0
1610091650.47962,0.0,0.0
1610091650.511907,0.0,0.0
1610091650.548188,0.0,0.0
1610091650.581498,0.0,0.0
1610091650.619316,0.0,0.0
1610091650.651639,0.0,0.0
1610091650.682754,0.0,0.0
1610091650.715659,0.0,0.0
1610091650.745747,0.0,0.0
1610091650.795099,0.0,0.0
1610091650.829433,0.0,0.0
1610091650.862116,0.0,0.0
1610091650.89671,0.0,0.0
1610091650.927031,0.0,0.0
1610091650.960242,0.0,0.0
1610091650.991699,0.0,0.0
1610091651.022465,0.0,0.0
1610091651.059843,0.0,0.0
1610091651.096625,0.0,0.0
1610091651.127843,0.0,0.0
1610091651.162997,0.0,0.0
1610091651.192045,0.0,0.0
1610091651.22701,0.0,0.0
1610091651.260222,0.0,0.0
1610091651.28862,0.0,0.0
1610091651.324192,0.0,0.0
1610091651.357621,0.0,0.0
1610091651.388231,0.0,0.0
1610091651.42073,0.0,0.0
1610091651.456428,0.0,0.0
1610091651.487378,0.0,0.0
1610091651.521837,0.0,0.0
1610091651.55535,0.0,0.0
1610091651.58793,0.0,0.0
1610091651.617296,0.0,0.0
1610091651.650457,0.0,0.0
1610091651.685259,0.0,0.0
1610091651.721282,0.0,0.0
1610091651.7504,0.0,0.0
1610091651.786998,0.0,0.0
1610091651.821597,0.0,0.0
1610091651.855029,0.0,0.0
1610091651.891374,0.0,0.0
1610091651.922834,0.0,0.0
1610091651.960557,0.0,0.0
1610091651.994709,0.0,0.0
1610091652.028,0.0,0.0
1610091652.062197,0.0,0.0
1610091652.092884,0.0,0.0
1610091652.130825,0.0,0.0
1610091652.161808,0.0,0.0
1610091652.1906,0.0,0.0
1610091652.221574,0.0,0.0
1610091652.257555,0.0,0.0
1610091652.286461,0.0,0.0
1610091652.321458,0.0,0.0
1610091652.35542,0.0,0.0
1610091652.385225,0.0,0.0
1610091652.423107,0.0,0.0
