Timestamp,x_error,y_error
1610097788.803125,0.0,-0.0
1610097789.593103,0.0,-0.0
1610097790.386533,-0.0,0.0
1610097791.17764,0.0,0.0
1610097791.954093,-0.0,0.0
1610097792.741799,0.0,-0.0
1610097793.540003,-0.0,-0.0
1610097794.326711,0.0,0.0
1610097795.10596,0.0,0.0
1610097795.901224,-0.0,0.0
1610097796.712903,-0.0,0.0
1610097797.513353,-0.0,-0.0
1610097798.313263,-0.0,-0.0
1610097799.116166,-0.0,0.0
1610097799.922039,0.0,0.0
1610097800.727042,0.0,0.0
1610097801.537822,0.0,0.0
1610097802.346484,0.0,0.0
1610097803.158655,0.0,0.0
1610097803.967027,0.0,0.0
1610097804.767173,0.0,0.0
1610097805.574971,0.0,0.0
1610097806.380555,0.0,-0.0
1610097807.176094,-0.0,-0.0
1610097807.981992,-0.0,0.0
1610097808.787045,-0.0,-0.0
1610097809.594427,-0.0,-0.0
1610097810.399192,-0.0,-0.0
1610097811.197933,-0.0,-0.0
1610097812.004996,-0.0,0.0
1610097812.804775,0.0,-0.0
1610097813.605253,0.0,0.0
1610097814.481158,0.0,-0.0
1610097815.281511,-0.0,-0.0
1610097816.086986,0.0,-0.0
1610097816.88655,-0.0,-0.0
1610097817.687904,-0.0,0.0
1610097818.499246,0.0,0.0
1610097819.309193,0.0,0.0
1610097820.113644,-0.0,-0.0
1610097820.920583,-0.0,-0.0
1610097821.719396,-0.0,-0.0
1610097822.521107,0.0,0.0
1610097823.324313,0.0,-0.0
1610097824.142748,-0.0,-0.0
1610097824.959561,-0.0,0.0
1610097825.7632,0.0,0.0
1610097826.569012,0.0,-0.0
1610097827.372807,0.0,0.0
1610097828.190676,-0.0,-0.0
1610097829.002236,-0.0,-0.0
1610097829.803384,-0.0,-0.0
1610097830.609591,0.0,0.0
1610097831.415062,0.0,0.0
1610097832.242847,0.0,0.0
1610097833.049,-0.0,-0.0
1610097833.86763,0.0,-0.0
1610097834.674842,-0.0,-0.0
