Timestamp,x,y,z
1609925905.1985452,0.008644756861031057,-0.0025826822966337213,-0.07416193187236789
1609925905.381171,0.008808490820229055,-0.0027109780348837376,-0.07415150851011278
1609925905.5791724,0.008731612935662271,-0.0027389354072511205,-0.07410566508769992
1609925905.8196836,0.008601211942732334,-0.0026763107161968946,-0.07411208003759386
1609925905.979315,0.008519480004906654,-0.0027236456517130136,-0.07411754876375198
1609925906.2006776,0.008544957265257835,-0.002795939100906253,-0.07410993427038194
1609925906.3802137,0.008579825982451439,-0.002737017115578056,-0.07409147918224333
1609925906.5802276,0.008597482927143574,-0.002828598022460938,-0.07411298155784608
1609925906.8279164,0.00873509142547846,-0.0029129900503903636,-0.07413589209318161
1609925906.9803104,0.008105594664812088,-0.002753678942099214,-0.07378579676151276
1609925907.2007458,0.00922881066799164,-0.0037104752846062183,-0.07499281316995621
1609925907.3832438,0.00877906754612923,-0.0035640376154333357,-0.07484403997659685
1609925907.5828636,0.008641547523438929,-0.003742191474884749,-0.07443203032016751
1609925907.8259974,0.008208923041820526,-0.0035910878796130414,-0.07478825002908705
1609925907.9917502,0.008047970943152906,-0.004410226363688709,-0.07436498999595641
1609925908.206554,0.00561997666954994,-0.00640297634527087,-0.07500817626714705
1609925908.3914475,0.005222446750849485,-0.009549888782203196,-0.08549509197473526
1609925908.5832865,0.0019635169301182027,-0.016233945265412327,-0.08440200239419934
1609925908.8282282,-0.003996598999947309,-0.07814259827136992,-0.08524893224239348
1609925908.9864733,0.016172505915164948,-0.030580163002014164,-0.08790522068738937
1609925909.2154,0.0028885751962661743,0.020620843395590782,-0.07640919089317323
1609925909.3869772,-0.0051620034500956535,0.005913214758038521,-0.08622295409440993
1609925909.587342,0.045876331627368934,-0.0011483514681458475,-0.09780016541481017
1609925909.8279684,0.09440104663372038,0.022255104035139084,-0.08605808764696121
1609925909.9934275,0.05385997891426087,0.00133838236797601,-0.0767841786146164
1609925910.216419,-0.004268723540008066,-0.02125650271773338,-0.06931355595588683
1609925910.3961353,-0.0157996229827404,-0.03057320974767207,-0.06498075276613234
1609925910.5972385,0.006199165247380733,-0.038678918033838265,-0.06678990274667737
1609925910.8342566,-0.007496586535125973,-0.03333239257335663,-0.06849297136068343
1609925910.9912865,-0.022248877212405208,-0.032354444265365594,-0.0709407702088356
1609925911.2164237,-0.017502229660749432,-0.03288383781909942,-0.07443053275346756
1609925911.3977482,-0.012763419188559055,-0.030390225350856784,-0.07978767901659013
1609925911.5973814,-0.01021462958306074,-0.03097581863403321,-0.08334212750196456
1609925911.837654,-0.0007319138385355471,-0.02971508912742138,-0.08534887433052064
1609925911.9950411,0.0010988019639626152,-0.033423393964767456,-0.08549132198095324
1609925912.2208269,-0.0003124889044556764,-0.03652412071824074,-0.08839719742536543
1609925912.397849,-0.0034442357718944537,-0.036227848380804055,-0.09394653886556625
1609925912.5964768,-0.008260796777904032,-0.03359748795628548,-0.09711508452892303
1609925912.8380349,-0.0048652468249201775,-0.03728421404957771,-0.09942709654569626
1609925912.9985287,-0.0009021153673529623,-0.04424802213907241,-0.09833063930273056
1609925913.2205024,0.00945292226970196,-0.04936627298593522,-0.09716533124446868
1609925913.3967772,0.017307918518781655,-0.047813717275857925,-0.09565775841474533
1609925913.6034787,0.015329116955399513,-0.04492435604333878,-0.0984893813729286
1609925913.8365533,-0.0037650135345757008,-0.03710423782467842,-0.1037378385663033
1609925914.000557,-0.0115022836253047,-0.028154056519269943,-0.10696101933717726
1609925914.2174404,-0.0061676655896008015,-0.0253608301281929,-0.09880457818508147
1609925914.3996844,0.0124655868858099,-0.039775267243385315,-0.0830148756504059
1609925914.6011755,0.015251646749675274,-0.03276599198579788,-0.07570719718933104
1609925914.8450391,0.01174329221248627,-0.029594048857688907,-0.07525188475847244
1609925914.9997532,0.014804169535636905,-0.027532806620001796,-0.07327605038881305
1609925915.217506,-0.005109269637614488,-0.03216268867254257,-0.08645675331354144
1609925915.3987317,-0.012189575470983982,-0.026712298393249515,-0.10629685223102571
1609925915.6031895,0.010919283144176008,-0.02900220081210136,-0.11052207648754121
1609925915.8441226,0.013078566640615465,-0.027903238311409947,-0.10629797726869585
1609925916.0002742,-0.005100751295685768,-0.025448957458138466,-0.0940873920917511
1609925916.2378092,0.013170719146728517,-0.02762964554131031,-0.07859624177217484
1609925916.4108026,0.019008822739124295,-0.029440220445394516,-0.07187605649232863
1609925916.6038702,0.01580633409321308,-0.03215080499649048,-0.0714023560285568
