Timestamp,x_error,y_error
1610092108.204276,0.0,0.0
1610092109.322472,0.0,-0.0
1610092110.35208,-0.0,-0.0
1610092111.467039,0.0,0.0
1610092112.498817,0.0,0.0
1610092113.632798,-0.0,0.0
1610092114.717782,-0.0,-0.0
1610092115.759632,-0.0,-0.0
1610092116.734689,0.0,0.0
1610092117.752712,0.0,0.0
1610092118.789156,0.0,0.0
1610092119.817491,-0.0,-0.0
1610092120.871625,-0.0,-0.0
1610092121.903563,-0.0,0.0
1610092122.938878,-0.0,-0.0
1610092123.961499,-0.0,-0.0
1610092124.987308,-0.0,-0.0
1610092126.026,0.0,-0.0
1610092127.112675,-0.0,-0.0
1610092128.209469,-0.0,-0.0
1610092129.210624,-0.0,-0.0
1610092130.42219,-0.0,-0.0
1610092131.505669,-0.0,-0.0
1610092132.547104,-0.0,-0.0
1610092133.626108,-0.0,-0.0
1610092134.595851,0.0,-0.0
1610092135.584233,-0.0,0.0
1610092136.605971,0.0,0.0
1610092137.693772,0.0,0.0
