Timestamp,Twist Linear,Twist Angular
"1609852677,183451494","x: -0.0286487821809
y: 0.000944526194653
z: 0.0419010482728","x: 0.0
y: 0.0
z: 0.0"
"1609852677,410194819","x: -0.0215559160247
y: 0.00478797670542
z: 0.0192420370877","x: 0.0
y: 0.0
z: 0.0"
"1609852677,591897977","x: -0.0192875672234
y: 0.00359271652435
z: 0.0167798362672","x: 0.0
y: 0.0
z: 0.0"
"1609852677,797845708","x: -0.0230541270341
y: 0.00246517227724
z: 0.0320546552539","x: 0.0
y: 0.0
z: 0.0"
"1609852678,29740332","x: -0.0186610312162
y: -0.013387849702
z: 0.0266511775553","x: 0.0
y: 0.0
z: 0.0"
"1609852678,184885649","x: -0.0144915166121
y: -0.0217138357585
z: 0.0303840581328","x: 0.0
y: 0.0
z: 0.0"
"1609852678,412200359","x: -0.0110207413589
y: -0.0138175263598
z: 0.0203165058047","x: 0.0
y: 0.0
z: 0.0"
"1609852678,584613987","x: -0.00518439712013
y: 0.00276686706264
z: 0.0142623456195","x: 0.0
y: 0.0
z: 0.0"
"1609852678,786295792","x: -0.00294290316935
y: -0.00770406488329
z: -0.0135846370831","x: 0.0
y: 0.0
z: 0.0"
"1609852679,36310113","x: -0.0138312557211
y: -0.000240310319071
z: 0.00844828877598","x: 0.0
y: 0.0
z: 0.0"
"1609852679,188846411","x: -0.0153548028135
y: 0.0356092589018
z: -0.00925264041871","x: 0.0
y: 0.0
z: 0.0"
"1609852679,411677105","x: -0.0100941099932
y: 0.0181881506256
z: -0.00622394075617","x: 0.0
y: 0.0
z: 0.0"
"1609852679,594642226","x: 0.00809837346623
y: -0.0166365453174
z: 0.0272693168372","x: 0.0
y: 0.0
z: 0.0"
"1609852679,789590478","x: 0.0168553545528
y: -0.00804412321738
z: 0.0239242278039","x: 0.0
y: 0.0
z: 0.0"
"1609852680,26996111","x: 0.00323520151922
y: -0.00234637643946
z: 0.0243666917086","x: 0.0
y: 0.0
z: 0.0"
"1609852680,189837509","x: -0.00125991095514
y: -0.0150346203351
z: 0.0230254717171","x: 0.0
y: 0.0
z: 0.0"
"1609852680,409084227","x: -0.000635409834382
y: 0.0161240816975
z: 0.0213311724365","x: 0.0
y: 0.0
z: 0.0"
"1609852680,589990929","x: -0.00884919522754
y: 0.0293374915193
z: 0.0368138998747","x: 0.0
y: 0.0
z: 0.0"
"1609852680,792573618","x: -0.015030100442
y: -0.0165762072187
z: 0.0530911944807","x: 0.0
y: 0.0
z: 0.0"
"1609852681,37770544","x: -0.00600903372587
y: -0.0341946780313
z: 0.0127190407366","x: 0.0
y: 0.0
z: 0.0"
"1609852681,192186112","x: -0.0129837679838
y: -0.0240549573806
z: 0.0102631896734","x: 0.0
y: 0.0
z: 0.0"
"1609852681,411687338","x: -0.00490238373092
y: -0.028860610938
z: 0.0616921111941","x: 0.0
y: 0.0
z: 0.0"
"1609852681,590059090","x: -0.00160803795442
y: -0.0446449581053
z: 0.0307499542832","x: 0.0
y: 0.0
z: 0.0"
"1609852681,795632616","x: 0.00529620513087
y: -0.0673678682608
z: -0.000876186939422","x: 0.0
y: 0.0
z: 0.0"
"1609852682,40395275","x: -0.00433536503195
y: -0.0632198467624
z: -0.012325852178","x: 0.0
y: 0.0
z: 0.0"
"1609852682,195898679","x: -0.00513802588077
y: -0.0500073380074
z: -0.00764923822135","x: 0.0
y: 0.0
z: 0.0"
"1609852682,410573222","x: -0.00556472460471
y: -0.0138592500162
z: 0.0142741017044","x: 0.0
y: 0.0
z: 0.0"
"1609852682,598257824","x: -0.00064018475255
y: 0.0161884580093
z: 0.0145384836942","x: 0.0
y: 0.0
z: 0.0"
"1609852682,798017352","x: 0.0115728859603
y: 0.0460041457622
z: 0.0202991459519","x: 0.0
y: 0.0
z: 0.0"
"1609852683,42162132","x: 0.0259642049558
y: 0.103160154718
z: 0.0285538285971","x: 0.0
y: 0.0
z: 0.0"
"1609852683,193890450","x: 0.0336975378102
y: 0.131322704276
z: 0.0376661494374","x: 0.0
y: 0.0
z: 0.0"
"1609852683,416291569","x: 0.0344517888999
y: 0.0984992387377
z: -0.0093045188114","x: 0.0
y: 0.0
z: 0.0"
"1609852683,595787578","x: 0.0147069485254
y: 0.0489263937148
z: 0.00640254747123","x: 0.0
y: 0.0
z: 0.0"
"1609852683,795530595","x: 0.00201335819956
y: 0.029591247295
z: 0.0191466510296","x: 0.0
y: 0.0
z: 0.0"
"1609852684,39511632","x: 0.00333736727477
y: 0.0017571572549
z: 0.00202262657695","x: 0.0
y: 0.0
z: 0.0"
"1609852684,208222692","x: -0.00474600785502
y: -0.0381123964516
z: 0.0383153669536","x: 0.0
y: 0.0
z: 0.0"
"1609852684,416093390","x: -0.0105783376432
y: -0.0520138079729
z: 0.0260744206607","x: 0.0
y: 0.0
z: 0.0"
"1609852684,608058398","x: -0.00722076582622
y: -0.0513975400708
z: -0.0139613226056","x: 0.0
y: 0.0
z: 0.0"
"1609852684,795445377","x: -0.0132400054265
y: -0.0339880259279
z: -0.0304525848478","x: 0.0
y: 0.0
z: 0.0"
"1609852685,37850906","x: -0.0182520907441
y: -0.0245355735909
z: -0.0173202957958","x: 0.0
y: 0.0
z: 0.0"
"1609852685,196584324","x: -0.00749577823109
y: -0.0279806231519
z: -0.00341601879336","x: 0.0
y: 0.0
z: 0.0"
"1609852685,417880633","x: -0.00850210178842
y: -0.0180866501175
z: 0.0286557860672","x: 0.0
y: 0.0
z: 0.0"
"1609852685,597626822","x: -0.00389728651352
y: -0.0182232284966
z: 0.0369968563318","x: 0.0
y: 0.0
z: 0.0"
"1609852685,800973950","x: 0.00829248001863
y: -0.0109741782766
z: 0.0408857278526","x: 0.0
y: 0.0
z: 0.0"
"1609852686,46319156","x: 0.0197719768754
y: 0.0160735639555
z: 0.0538876578212","x: 0.0
y: 0.0
z: 0.0"
"1609852686,199599535","x: 0.0120534900017
y: 0.0146127705679
z: 0.0360058620572","x: 0.0
y: 0.0
z: 0.0"
"1609852686,427971609","x: 0.0105815148291
y: 0.0151027662236
z: 0.0533223561943","x: 0.0
y: 0.0
z: 0.0"
"1609852686,600366636","x: 0.0121798504229
y: 0.0100343397638
z: 0.0349738709629","x: 0.0
y: 0.0
z: 0.0"
