Timestamp,x_error
1609944063.524247,0.011068104470170651
1609944064.79853,0.26049850031046157
1609944066.065605,-0.02785903222274197
1609944067.35136,-4.510461210989445
1609944068.631145,-32.89525770612212
1609944069.894748,-9.581960249908553
1609944071.157188,-14.901914807455364
1609944072.421618,-21.596452515743223
1609944073.684334,-30.238202769410144
1609944074.958624,42.528216332115925
1609944076.244379,-45.54476706999142
1609944077.52811,50.383771129989796
1609944078.79594,-25.702526750639617
1609944080.066796,16.94531034833074
1609944081.314074,-56.06199000655213
1609944082.577604,4.744392591088222
1609944083.853302,-16.54913608736097
1609944085.124865,-20.710258786831997
1609944086.382929,11.605230479933867
1609944087.662481,-8.783471087717935
1609944088.92413,-19.430270067484262
1609944090.171313,18.14807190559361
1609944091.426482,-44.126104743786186
1609944092.681331,-30.134364367801634
1609944093.93044,-47.27721105970404
1609944095.183307,28.950383365428298
1609944096.441752,-6.011279167851897
1609944097.709717,-3.918741208522172
1609944098.987238,-21.422835443644097
1609944100.232669,11.786448056599568
1609944101.477732,-16.813053804651574
1609944102.733871,3.136467207397495
1609944103.987794,1.0123269969214177
1609944105.252265,-9.912982827001821
1609944106.531184,10.593835023136856
1609944107.78914,-47.49750147851403
1609944109.045125,-5.813422563767439
1609944110.310417,-11.3331886966203
1609944111.563403,-8.895021960010464
1609944112.822568,-7.4875006621337095
1609944114.082694,-15.026636322093642
1609944115.341013,-3.5335041738924025
