Timestamp,x,y,z
1609942171.2013083,0.0,-0.0,0.0
1609942171.4084766,0.0,-0.0,0.0
1609942171.6485858,0.0,-0.0,0.0
1609942171.8049157,0.0,-0.0,0.0
1609942172.0354927,0.0,-0.0,0.0
1609942172.2091498,0.0,-0.0,0.0
1609942172.4122627,0.0,-0.0,0.0
1609942172.6740396,0.0,-0.0,0.0
1609942172.816256,0.0,-0.0,0.0
1609942173.034836,0.0,-0.0,0.0
1609942173.2050107,0.0,-0.0,0.0
1609942173.4080799,0.0,-0.0,0.0
1609942173.6477048,0.0,-0.0,0.0
1609942173.8176253,0.0,-0.0,0.0
1609942174.03588,0.0,-0.0,0.0
1609942174.2185156,0.0,-0.0,0.0
1609942174.4083576,0.0,-0.0,0.0
1609942174.6552489,0.0,-0.0,0.0
1609942174.8064175,0.0,-0.0,0.0
1609942175.037851,0.0,-0.0,0.0
1609942175.2173393,0.0,-0.0,0.0
1609942175.4147816,0.0,-0.0,0.0
1609942175.6642523,0.0,-0.0,0.0
1609942175.8144794,0.0,-0.0,0.0
1609942176.0393026,0.0,-0.0,0.0
1609942176.2204313,0.0,-0.0,0.0
1609942176.4225974,0.0,-0.0,0.0
1609942176.6647727,0.0,-0.0,0.0
1609942176.8200874,0.0,-0.0,0.0
1609942177.045812,0.0,-0.0,0.0
1609942177.2186115,0.0,-0.0,0.0
1609942177.4218068,0.0,-0.0,0.0
1609942177.6740096,0.0,-0.0,0.0
1609942177.8178658,0.0,-0.0,0.0
1609942178.0471938,0.0,-0.0,0.0
1609942178.2282512,0.0,-0.0,0.0
1609942178.4207478,0.0,-0.0,0.0
1609942178.664581,0.0,-0.0,0.0
1609942178.818218,0.0,-0.0,0.0
1609942179.0446072,0.0,-0.0,0.0
1609942179.221216,0.0,-0.0,0.0
1609942179.423235,0.0,-0.0,0.0
1609942179.6725652,0.0,-0.0,0.0
1609942179.8278396,0.0,-0.0,0.0
1609942180.0480764,0.0,-0.0,0.0
1609942180.229757,0.0,-0.0,0.0
1609942180.4259973,0.0,-0.0,0.0
1609942180.6689363,0.0,-0.0,0.0
1609942180.8246157,0.0,-0.0,0.0
1609942181.0520172,0.0,-0.0,0.0
1609942181.2301207,0.0,-0.0,0.0
1609942181.4339318,0.0,-0.0,0.0
1609942181.6738086,0.0,-0.0,0.0
1609942181.8287525,0.0,-0.0,0.0
1609942182.0687404,0.0,-0.0,0.0
1609942182.2272398,0.0,-0.0,0.0
1609942182.4345367,0.0,-0.0,0.0
1609942182.6698792,0.0,-0.0,0.0
1609942182.831513,0.0,-0.0,0.0
1609942183.051221,0.0,-0.0,0.0
1609942183.2370882,0.0,-0.0,0.0
1609942183.4339585,0.0,-0.0,0.0
1609942183.6847599,0.0,-0.0,0.0
1609942183.8293986,0.0,-0.0,0.0
1609942184.058286,0.0,-0.0,0.0
1609942184.2395566,0.0,-0.0,0.0
1609942184.436563,0.0,-0.0,0.0
1609942184.6877625,0.0,-0.0,0.0
1609942184.845428,0.0,-0.0,0.0
1609942185.0603862,0.0,-0.0,0.0
1609942185.2399743,0.0,-0.0,0.0
1609942185.4406173,0.0,-0.0,0.0
1609942185.6940196,0.0,-0.0,0.0
1609942185.8408992,0.0,-0.0,0.0
1609942186.0708604,0.0,-0.0,0.0
1609942186.2461069,0.0,-0.0,0.0
1609942186.440374,0.0,-0.0,0.0
1609942186.7064347,0.0,-0.0,0.0
1609942186.8649235,0.0,-0.0,0.0
1609942187.07609,0.0,-0.0,0.0
1609942187.238575,0.0,-0.0,0.0
1609942187.4483323,0.0,-0.0,0.0
1609942187.7091155,0.0,-0.0,0.0
1609942187.8432124,0.0,-0.0,0.0
1609942188.0659873,0.0,-0.0,0.0
1609942188.2420568,0.0,-0.0,0.0
1609942188.4476478,0.0,-0.0,0.0
1609942188.7077098,0.0,-0.0,0.0
1609942188.846709,0.0,-0.0,0.0
1609942189.0661402,0.0,-0.0,0.0
1609942189.2461464,0.0,-0.0,0.0
1609942189.461435,0.0,-0.0,0.0
1609942189.6931543,0.0,-0.0,0.0
1609942189.8492596,0.0,-0.0,0.0
1609942190.070745,0.0,-0.0,0.0
1609942190.258875,0.0,-0.0,0.0
1609942190.4542153,0.0,-0.0,0.0
1609942190.696158,0.0,-0.0,0.0
1609942190.8512487,0.0,-0.0,0.0
1609942191.0717156,0.0,-0.0,0.0
1609942191.2602804,0.0,-0.0,0.0
1609942191.4552138,0.0,-0.0,0.0
1609942191.696163,0.0,-0.0,0.0
1609942191.8525221,0.0,-0.0,0.0
1609942192.0901625,0.0,-0.0,0.0
1609942192.2605336,0.0,-0.0,0.0
1609942192.453809,0.0,-0.0,0.0
1609942192.7065535,0.0,-0.0,0.0
1609942192.851389,0.0,-0.0,0.0
1609942193.0864697,0.0,-0.0,0.0
1609942193.258135,0.0,-0.0,0.0
1609942193.4554186,0.0,-0.0,0.0
1609942193.699921,0.0,-0.0,0.0
1609942193.85621,0.0,-0.0,0.0
1609942194.0832593,0.0,-0.0,0.0
1609942194.2641773,0.0,-0.0,0.0
1609942194.4534676,0.0,-0.0,0.0
1609942194.7036915,0.0,-0.0,0.0
1609942194.8596964,0.0,-0.0,0.0
1609942195.0843408,0.0,-0.0,0.0
1609942195.2636294,0.0,-0.0,0.0
1609942195.460957,0.0,-0.0,0.0
1609942195.7105849,0.0,-0.0,0.0
1609942195.858293,0.0,-0.0,0.0
1609942196.0846167,0.0,-0.0,0.0
1609942196.2634618,0.0,-0.0,0.0
1609942196.4614403,0.0,-0.0,0.0
1609942196.7101398,0.0,-0.0,0.0
1609942196.8763645,0.0,-0.0,0.0
1609942197.1007981,0.0,-0.0,0.0
1609942197.27542,0.0,-0.0,0.0
1609942197.4622378,0.0,-0.0,0.0
1609942197.7093549,0.0,-0.0,0.0
1609942197.8689582,0.0,-0.0,0.0
1609942198.1038427,0.0,-0.0,0.0
1609942198.2665,0.0,-0.0,0.0
1609942198.4689767,0.0,-0.0,0.0
1609942198.7230916,0.0,-0.0,0.0
1609942198.8706071,0.0,-0.0,0.0
1609942199.100075,0.0,-0.0,0.0
1609942199.2654536,0.0,-0.0,0.0
1609942199.4703228,0.0,-0.0,0.0
1609942199.7128057,0.0,-0.0,0.0
1609942199.868259,0.0,-0.0,0.0
1609942200.0972307,0.0,-0.0,0.0
1609942200.2766042,0.0,-0.0,0.0
1609942200.4799716,0.0,-0.0,0.0
1609942200.7153003,0.0,-0.0,0.0
1609942200.8844304,0.0,-0.0,0.0
1609942201.0951767,0.0,-0.0,0.0
1609942201.2773201,0.0,-0.0,0.0
1609942201.472933,0.0,-0.0,0.0
1609942201.728577,0.0,-0.0,0.0
1609942201.8766158,0.0,-0.0,0.0
1609942202.0987825,0.0,-0.0,0.0
1609942202.2797606,0.0,-0.0,0.0
1609942202.4782634,0.0,-0.0,0.0
1609942202.724986,0.0,-0.0,0.0
1609942202.8840892,0.0,-0.0,0.0
1609942203.0974994,0.0,-0.0,0.0
1609942203.282725,0.0,-0.0,0.0
1609942203.484169,0.0,-0.0,0.0
1609942203.7264493,0.0,-0.0,0.0
1609942203.8783033,0.0,-0.0,0.0
1609942204.0988638,0.0,-0.0,0.0
1609942204.2757776,0.0,-0.0,0.0
1609942204.4840534,0.0,-0.0,0.0
1609942204.7266586,0.0,-0.0,0.0
1609942204.881458,0.0,-0.0,0.0
1609942205.1035037,0.0,-0.0,0.0
1609942205.276417,0.0,-0.0,0.0
1609942205.4884589,0.0,-0.0,0.0
