Timestamp,x_error
1609948674.776066,-1.112444792881707
1609948675.577484,-0.5393590684392146
1609948676.361165,-0.2749519996491717
1609948677.136597,1.1933598249671022
1609948677.922965,1.6209482191376665
1609948678.714478,-0.9016660860013388
1609948679.509229,0.5910613559165967
1609948680.288212,3.064794761229532
1609948681.065304,8.30194725039071
1609948681.848322,-3.911290771909752
1609948682.625217,-6.586733038605239
1609948683.409782,-6.7936473648929505
1609948684.191657,-15.96187023520287
1609948684.978292,-18.121588578205518
1609948685.755105,-23.220811896908877
1609948686.532873,-15.02253499382281
