Timestamp,x_error,y_error
1610092011.508945,0.0,-0.0
1610092012.88915,-0.0,-0.0
1610092014.255322,0.0,0.0
1610092015.642192,0.0,0.0
1610092017.04925,0.0,0.0
1610092018.454478,-0.0,-0.0
1610092019.969413,-0.0,-0.0
1610092021.35349,0.0,0.0
1610092022.732807,0.0,0.0
1610092024.117462,0.0,0.0
1610092025.509417,0.0,0.0
1610092026.918054,0.0,-0.0
1610092028.300558,-0.0,-0.0
1610092029.675597,-0.0,-0.0
1610092031.065674,-0.0,-0.0
1610092032.475035,-0.0,-0.0
1610092033.865066,-0.0,0.0
1610092035.270497,-0.0,0.0
