Timestamp,x,y,z
1609941815.141829,0.0,-0.0,0.0
1609941815.3327684,0.0,-0.0,0.0
1609941815.5212154,0.0,-0.0,0.0
1609941815.7631803,0.0,-0.0,0.0
1609941815.9251287,0.0,-0.0,0.0
1609941816.1459374,0.0,-0.0,0.0
1609941816.33445,0.0,-0.0,0.0
1609941816.5369248,0.0,-0.0,0.0
1609941816.7674677,0.0,-0.0,0.0
1609941816.9290342,0.0,-0.0,0.0
1609941817.148792,0.0,-0.0,0.0
1609941817.319552,0.0,-0.0,0.0
1609941817.5208201,0.0,-0.0,0.0
1609941817.7711084,0.0,-0.0,0.0
1609941817.9260561,0.0,-0.0,0.0
1609941818.151436,0.0,-0.0,0.0
1609941818.324284,0.0,-0.0,0.0
1609941818.5363646,0.0,-0.0,0.0
1609941818.768193,0.0,-0.0,0.0
1609941818.9328628,0.0,-0.0,0.0
1609941819.14944,0.0,-0.0,0.0
1609941819.3470929,0.0,-0.0,0.0
1609941819.5240493,0.0,-0.0,0.0
1609941819.772305,0.0,-0.0,0.0
1609941819.934486,0.0,-0.0,0.0
1609941820.1482537,0.0,-0.0,0.0
1609941820.331767,0.0,-0.0,0.0
1609941820.5278292,0.0,-0.0,0.0
1609941820.7769737,0.0,-0.0,0.0
