dx,dy,da
0.17085258893575858,0.053988331426030892,-0.00014243590592017343
-0.16708282020050522,-0.055343928463840342,0.0001520996478293876
-0.18653597648841577,0.021930412744975654,-1.3409186724012444e-05
0.14095450853557165,0.021621823574659933,-7.5148044444303428e-06
0.058810322709058269,-0.0097554376691275212,1.2888940986838002e-05
-0.00077290909950708455,0.0059055748411445674,1.9855438148830706e-06
0.27777849474781879,0.017040329393039844,-6.4533405555850608e-05
0.0054895272754206257,-0.026302412350387914,1.267484835561793e-05
-0.29593471556423145,0.015617875540997916,2.8471062439732098e-05
-0.29140373339041759,-0.0073206384626919585,-5.4146116603423607e-06
0.14578037865478122,-0.058267898713613875,7.5325263274775612e-05
0.0037741747223013992,-0.012710681881744009,8.9657235962227932e-05
0.061549940329281475,-0.0540356769990427,4.3678697453584291e-05
0.010295008698429352,0.14938861005145471,-0.00020830424724919101
0.039683864353448617,0.041358179733185049,-9.9750793480937746e-05
-0.013911411868828123,-0.02680323410791071,8.2287974396857532e-05
0.03885864799233224,0.019233858696903847,-4.5087463538935985e-05
0.1146639649886573,0.068129785016229377,-8.6511859777083119e-05
0.035968822586588685,0.0031605542980157192,3.5932817753300629e-05
-0.20862977248076603,-0.036768093335529502,0.00011383090546838407
-0.032925846273346632,0.011595675999142952,1.2614637097568122e-05
0.19358593642376323,0.045359406474976993,-0.00014037225015735191
-0.092920706389757787,0.023570904721622453,-8.3415925385231469e-05
0.12403576543349772,0.017957509643228606,-3.006016843382646e-05
0.00054839900805475628,-0.057691492222947463,0.00011379672738191491
-0.078203155105070477,-0.082814344243821419,9.6117878522435776e-05
-0.079283884459902809,-0.0092275938327142926,7.5292227262551317e-05
-0.0079904227196995192,-0.027537790002845244,1.0435272453241304e-05
0.13349575275227593,0.034722508155492743,-8.7278958716288202e-05
0.10976069186048462,0.054535415212303914,-7.128461202683308e-05
-0.1097955477171904,-0.0040651106064308893,4.5769898214900138e-05
-0.008818861809910386,-0.020387671948166538,3.5398736754977761e-05
0.12678382424205351,-0.0677107105769892,6.7993614234932852e-05
-0.047088243131190553,0.017764836372651822,-4.9923978283383287e-05
0.076223897326511414,-0.0091937048864945553,3.5319825435031977e-05
-0.027090895831808886,-0.002541555696735566,-1.6418294184713381e-05
-0.14351105282392496,0.044833696564416825,-2.9156868047542466e-05
