Timestamp,x_error,y_error
1610095927.157329,-0.0,0.0
1610095927.951879,-0.0,0.0
1610095928.747119,-0.0,-0.0
1610095929.529322,0.0,-0.0
1610095930.38869,0.0,-0.0
1610095931.170969,-0.0,0.0
1610095931.950616,-0.008827761937730261,-0.0
1610095932.745001,-0.004782409987844986,-0.0
1610095933.526641,-0.11476247089620968,0.0
1610095934.317207,-0.4432827873629588,0.0
1610095935.125283,-0.35670173883826656,-0.0
1610095935.928756,-0.28388866992984774,-0.0
1610095936.719936,-0.279083269310413,-0.0
1610095937.499508,-0.09147866995376325,-0.0
1610095938.28975,-0.0026917872056151566,-0.0
1610095939.077328,0.007277374529289346,0.0
