Timestamp,x_error,y_error
1610095583.020078,-0.0,0.0
1610095583.797982,-0.0,-0.0
1610095584.578012,0.0,0.0
1610095585.355503,0.0007075821273865693,0.000794553593040557
1610095586.130066,-0.0010892915079577506,-0.000357006378130246
1610095586.919248,0.004094736139008015,-0.0017345570126706812
1610095587.698579,0.003713685776595606,0.0039355958583004655
1610095588.478132,-0.0050485171054616,0.013215624845782455
1610095589.256981,-0.26728475072115937,0.8733745009683505
1610095590.058672,-0.26701786140045275,1
