Timestamp,x_error,y_error
1610091845.594381,0.0,-0.0
1610091847.018585,-0.0,-0.0
1610091848.429915,-0.0,0.0
1610091849.829995,0.0,0.0
1610091851.290073,-0.0,0.0
1610091852.710697,-0.0,0.0
1610091854.1152,-0.0,-0.0
1610091855.521891,-0.0,-0.0
1610091856.917614,0.0,0.0
1610091858.317499,0.0,0.0
1610091859.705283,0.0,0.0
1610091861.096952,0.0,-0.0
1610091862.501407,-0.0,-0.0
1610091863.902768,-0.0,-0.0
1610091865.293114,-0.0,-0.0
1610091866.683247,-0.0,-0.0
1610091868.08338,0.0,0.0
1610091869.530006,0.0,0.0
